,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Survived
869,3,0,47.0,0,0,0
870,2,1,28.0,1,0,1
871,3,1,15.0,0,0,1
872,3,0,20.0,0,0,0
873,3,0,19.0,0,0,0
874,3,0,23.0,0,0,0
875,1,1,56.0,0,1,1
876,2,1,25.0,0,1,1
877,3,0,33.0,0,0,0
878,3,1,22.0,0,0,0
879,2,0,28.0,0,0,0
880,3,0,25.0,0,0,0
881,3,1,39.0,0,5,0
882,2,0,27.0,0,0,0
883,1,1,19.0,0,0,1
884,3,1,7.0,1,2,0
885,1,0,26.0,0,0,1
886,3,0,32.0,0,0,0
